1   1   1   1   1
2   2   3   3   2
3   3   6   5   3
4   4   10   8   4
5   5   15   11   5
6   6   21   14   6
7   7   28   17   7
8   8   36   21   8
9   9   45   25   9
10   10   55   29   10
11   11   66   33   11
12   12   78   37   12
13   13   91   41   13
14   14   105   45   14
15   15   120   49   15
16   16   136   54   16
17   17   153   59   17
18   18   171   64   18
19   19   190   69   19
20   20   210   74   20
21   21   231   79   21
22   22   253   84   22
23   23   276   89   23
24   24   300   94   24
25   25   325   99   25
26   26   351   104   26
27   27   378   109   27
28   28   406   114   28
29   29   435   119   29
30   30   465   124   30
31   31   496   129   31
32   32   528   135   32
33   33   561   141   33
34   34   595   147   34
35   35   630   153   35
36   36   666   159   36
37   37   703   165   37
38   38   741   171   38
39   39   780   177   39
40   40   820   183   40
41   41   861   189   41
42   42   903   195   42
43   43   946   201   43
44   44   990   207   44
45   45   1035   213   45
46   46   1081   219   46
47   47   1128   225   47
48   48   1176   231   48
49   49   1225   237   49
50   50   1275   243   50
51   51   1326   249   51
52   52   1378   255   52
53   53   1431   261   53
54   54   1485   267   54
55   55   1540   273   55
56   56   1596   279   56
57   57   1653   285   57
58   58   1711   291   58
59   59   1770   297   59
60   60   1830   303   60
61   61   1891   309   61
62   62   1953   315   62
63   63   2016   321   63
64   64   2080   328   64
65   65   2145   335   65
66   66   2211   342   66
67   67   2278   349   67
68   68   2346   356   68
69   69   2415   363   69
70   70   2485   370   70
71   71   2556   377   71
72   72   2628   384   72
73   73   2701   391   73
74   74   2775   398   74
75   75   2850   405   75
76   76   2926   412   76
77   77   3003   419   77
78   78   3081   426   78
79   79   3160   433   79
80   80   3240   440   80
81   81   3321   447   81
82   82   3403   454   82
83   83   3486   461   83
84   84   3570   468   84
85   85   3655   475   85
86   86   3741   482   86
87   87   3828   489   87
88   88   3916   496   88
89   89   4005   503   89
90   90   4095   510   90
91   91   4186   517   91
92   92   4278   524   92
93   93   4371   531   93
94   94   4465   538   94
95   95   4560   545   95
96   96   4656   552   96
97   97   4753   559   97
98   98   4851   566   98
99   99   4950   573   99
100   100   5050   580   100
