1   1   1   1   1
2   2   3   3   2
3   3   6   5   3
4   4   10   8   4
5   5   15   11   5
6   6   21   14   6
7   7   28   17   7
8   8   36   21   8
9   9   45   25   9
10   10   55   29   10
11   11   66   33   11
12   12   78   37   12
13   13   91   41   13
14   14   105   45   14
15   15   120   49   15
16   16   136   54   16
17   17   153   59   17
18   18   171   64   18
19   19   190   69   19
20   20   210   74   20
21   21   231   79   21
22   22   253   84   22
23   23   276   89   23
24   24   300   94   24
25   25   325   99   25
26   26   351   104   26
27   27   378   109   27
28   28   406   114   28
29   29   435   119   29
30   30   465   124   30
